Member_ID,Europe,USA,China,Rest_of_Asia,Africa,Central_South_America
1,6,4,1,1,2,1
2,7,2,1,0,7,9
3,1,2,9,5,5,10
4,8,1,1,1,10,8
5,6,9,0,5,4,2
6,4,9,7,3,2,5
7,3,4,9,3,2,10
8,6,7,8,1,8,4
9,3,4,1,4,4,3
10,9,2,0,1,3,5
11,1,8,0,6,5,1
12,1,0,1,9,7,10
13,9,8,8,2,3,3
14,3,9,2,8,6,4
15,5,10,7,0,3,8
16,7,1,2,9,4,6
17,5,10,0,9,5,10
18,5,2,1,3,8,6
19,8,5,5,6,7,1
20,9,7,3,1,10,1
21,4,4,5,10,10,9
22,3,3,2,7,5,2
23,3,9,2,9,5,8
24,10,6,5,7,10,5
25,6,3,3,6,8,0
26,2,1,5,1,6,8
27,6,5,4,6,1,5
28,5,5,6,5,1,9
29,1,9,7,5,0,3
30,9,7,8,3,9,3
31,7,7,4,7,9,10
32,10,3,9,8,2,1
33,4,0,6,8,8,6
34,2,0,9,5,6,5
35,2,9,4,9,9,8
36,5,9,6,7,9,1
37,6,3,0,9,3,9
38,5,5,4,8,2,10
39,0,0,8,2,5,10
40,1,7,10,10,2,0
41,6,10,6,7,6,2
42,6,3,3,0,4,2
43,1,4,6,0,1,0
44,7,8,10,5,5,6
45,9,6,3,10,4,0
46,8,7,1,6,10,7
47,3,4,8,8,7,9
48,6,3,4,1,10,9
49,7,9,3,6,3,5
50,5,6,6,6,5,7
51,3,1,7,3,8,3
52,4,4,7,6,6,8
53,9,3,2,10,2,1
54,10,10,10,3,0,5
55,7,3,7,10,6,8
56,8,9,7,6,5,7
57,8,8,9,2,0,9
58,0,6,5,1,4,1
59,10,6,8,2,3,1
60,2,4,2,1,7,4
61,7,1,0,3,6,7
62,3,1,9,9,4,10
63,9,3,5,9,8,7
64,4,2,5,9,10,1
65,10,9,5,1,0,4
66,8,6,5,9,5,0
67,1,3,3,6,4,3
68,0,1,2,3,0,9
69,3,2,4,7,1,5
70,0,4,7,6,9,0
71,10,5,4,5,7,1
72,8,2,7,8,3,3
73,6,6,6,6,1,5
74,4,7,3,7,10,10
75,10,9,10,8,5,7
76,1,9,3,10,10,10
77,10,6,9,1,6,4
78,9,5,9,7,4,6
79,0,5,7,4,10,2
80,4,1,5,2,5,3
81,7,3,6,1,1,6
82,7,0,0,7,8,6
83,5,3,1,8,6,7
84,4,9,0,2,3,5
85,9,3,10,7,3,8
86,0,5,1,2,3,8
87,8,0,8,0,3,9
88,5,8,7,7,6,2
89,8,10,5,4,1,10
90,7,4,3,9,10,0
91,8,7,3,6,6,8
92,9,5,0,5,8,2
93,2,9,9,3,6,4
94,6,1,3,0,5,0
95,2,4,10,4,4,4
96,2,0,0,4,1,0
97,5,8,5,2,9,1
98,9,6,0,7,2,2
99,9,4,4,7,10,5
100,7,8,2,9,10,6
