Member_ID,Feb_22,Mar_22,Apr_22
000001,We have a shortage of technical staff in our business. Do you know someone with a solution?,,
000002,,,
000003,,,
000004,,,
000005,This year I want to sell my healthcare company. Has someone done this before?,,
000006,,,
000007,,,
000008,,Looking to buy a real estate software business. Any advice or leads?,
000009,,,
000010,Need urgent help with financial due diligence for a company acquisition. Need someone I can trust.,,
000011,,,
000012,,,
000013,,,
000014,,,Want to buy a house in Mallorca.
000015,,,
000016,,,
000017,,,
000018,Looking for board member for HR tech company.,,
000019,,,
000020,,,
000021,,,
000022,,,
000023,,,
000024,,,
000025,,,
000026,,Want to set up a company in China.,
000027,,,
000028,,,
000029,,,
000030,,,Want to set up a round of golf with members on Mallorca for next month.
000031,,,
000032,,,
000033,,,
000034,,,
000035,,,Want to invest in Cryptocurrency. Need help in this jungle.
000036,,,
000037,,,
000038,,,
000039,,,
000040,,,
000041,,,
000042,,,
000043,,,
000044,,,
000045,,,
000046,,,
000047,,,
000048,,,
000049,,,
000050,,,
000051,,,
000052,,,
000053,,,
000054,,,
000055,,,
000056,,,
000057,,,
000058,,,
000059,,,
000060,,,
000061,,,
000062,,,
000063,,,
000064,,,
000065,,,
000066,,,
000067,,,
000068,,,
000069,,,
000070,,,
000071,,,
000072,,,
000073,,,
000074,,,
000075,,,
000076,,,
000077,,,
000078,,,
000079,,,
000080,,,
000081,,,
000082,,,
000083,,,
000084,,,
000085,,,
000086,,,
000087,,,
000088,,,
000089,,,
000090,,,
000091,,,
000092,,,
000093,,,
000094,,,
000095,,,
000096,,,
000097,,,
000098,,,
000099,,,
000100,,,
