Member_ID,Rating,Feedback
000001,0,"Sorry, couldn't attend"
000002,1,Need more experts
000003,5,
000004,4,
000005,8,I want more of these events!
000006,6,
000007,2,
000008,2,
000009,4,
000010,0,
000011,10,The wine was excellent!
000012,1,
000013,9,
000014,8,
000015,9,
000016,0,Too busy to attend all your events. Want fewer but bigger events.
000017,4,
000018,4,"I am vegan, please consider next time."
000019,10,
000020,2,
000021,6,
000022,7,I know more experts for this topic if you need them.
000023,1,
000024,7,
000025,0,
000026,4,
000027,9,More international attendance would be great!
000028,4,
000029,0,
000030,3,This is just not my topic.
000031,,
000032,,
000033,,
000034,,
000035,,
000036,,
000037,,
000038,,
000039,,
000040,,
000041,,
000042,,
000043,,
000044,,
000045,,
000046,,
000047,,
000048,,
000049,,
000050,,
000051,,
000052,,
000053,,
000054,,
000055,,
000056,,
000057,,
000058,,
000059,,
000060,,
000061,,
000062,,
000063,,
000064,,
000065,,
000066,,
000067,,
000068,,
000069,,
000070,,
000071,,
000072,,
000073,,
000074,,
000075,,
000076,,
000077,,
000078,,
000079,,
000080,,
000081,,
000082,,
000083,,
000084,,
000085,,
000086,,
000087,,
000088,,
000089,,
000090,,
000091,,
000092,,
000093,,
000094,,
000095,,
000096,,
000097,,
000098,,
000099,,
000100,,
